Lead ID,Signup Date,Channel,Campaign,Device,Region,Funnel Stage Reached,Days to Convert,Plan,Deal Value
LD4136,2024-07-14,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD4324,2024-07-15,Email Marketing,Monthly Newsletter,Mobile,Europe,Lead,,,
LD1801,2024-02-21,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD7671,2024-12-01,Referral,Affiliate Program,Mobile,Europe,SQL,,,
LD1535,2024-02-18,Organic Search,Landing Page SEO,Desktop,North America,MQL,,,
LD6332,2024-11-08,Organic Search,Landing Page SEO,Mobile,Europe,Lead,,,
LD5012,2024-08-07,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD7503,2024-12-16,Email Marketing,Monthly Newsletter,Tablet,North America,Lead,,,
LD2840,2024-04-02,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,MQL,,,
LD6689,2024-11-11,Social Media,Instagram Ads,Mobile,Asia Pacific,Lead,,,
LD6474,2024-11-22,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,Lead,,,
LD6544,2024-11-07,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD4796,2024-08-02,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,Lead,,,
LD7756,2024-12-26,Direct,Direct / Type-in,Mobile,Latin America,Lead,,,
LD3390,2024-05-09,Email Marketing,Monthly Newsletter,Desktop,Europe,SQL,,,
LD6763,2024-11-10,Email Marketing,Monthly Newsletter,Desktop,Latin America,MQL,,,
LD3478,2024-05-19,Referral,Affiliate Program,Desktop,North America,SQL,,,
LD6119,2024-10-09,Email Marketing,Promo Blast,Mobile,Asia Pacific,Lead,,,
LD6187,2024-10-17,Referral,Affiliate Program,Mobile,Asia Pacific,SQL,,,
LD3155,2024-05-05,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD2502,2024-04-07,Organic Search,Landing Page SEO,Desktop,North America,Lead,,,
LD4207,2024-07-22,Paid Search,Google Ads - Brand,Desktop,Europe,SQL,,,
LD1240,2024-01-20,Email Marketing,Promo Blast,Mobile,Europe,SQL,,,
LD5056,2024-09-14,Organic Search,Landing Page SEO,Desktop,Asia Pacific,Lead,,,
LD2515,2024-04-26,Organic Search,Landing Page SEO,Desktop,Asia Pacific,MQL,,,
LD3927,2024-06-06,Referral,Partner Program,Mobile,North America,SQL,,,
LD6433,2024-11-26,Organic Search,Landing Page SEO,Desktop,Latin America,SQL,,,
LD5862,2024-10-27,Social Media,Facebook Ads,Desktop,Asia Pacific,MQL,,,
LD1133,2024-01-09,Paid Search,Google Ads - Generic,Desktop,Europe,Lead,,,
LD7628,2024-12-28,Referral,Partner Program,Mobile,North America,Lead,,,
LD1539,2024-02-12,Organic Search,Landing Page SEO,Mobile,North America,MQL,,,
LD2787,2024-04-02,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD5175,2024-09-28,Paid Search,Google Ads - Brand,Mobile,Europe,Lead,,,
LD4154,2024-07-10,Paid Search,Google Ads - Brand,Mobile,Latin America,MQL,,,
LD7748,2024-12-22,Direct,Direct / Type-in,Desktop,North America,SQL,,,
LD7049,2024-11-13,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD1379,2024-01-24,Referral,Partner Program,Mobile,Asia Pacific,Lead,,,
LD4195,2024-07-28,Paid Search,Google Ads - Generic,Desktop,Latin America,Lead,,,
LD4358,2024-07-06,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD7579,2024-12-04,Email Marketing,Promo Blast,Tablet,North America,MQL,,,
LD5648,2024-10-27,Organic Search,Landing Page SEO,Desktop,Europe,Lead,,,
LD5835,2024-10-16,Paid Search,Google Ads - Generic,Mobile,North America,Customer,22.0,Pro,2041.58
LD4683,2024-08-14,Social Media,LinkedIn Ads,Desktop,North America,Lead,,,
LD4443,2024-07-17,Referral,Affiliate Program,Mobile,Latin America,Lead,,,
LD1180,2024-01-16,Social Media,Instagram Ads,Mobile,North America,MQL,,,
LD6293,2024-10-21,Direct,Direct / Type-in,Desktop,Latin America,Lead,,,
LD4384,2024-07-21,Referral,Partner Program,Mobile,Asia Pacific,Customer,63.0,Enterprise,6751.68
LD3523,2024-05-18,Direct,Direct / Type-in,Desktop,Latin America,Lead,,,
LD3465,2024-05-16,Referral,Affiliate Program,Mobile,Asia Pacific,MQL,,,
LD3376,2024-05-07,Email Marketing,Monthly Newsletter,Tablet,Europe,MQL,,,
LD4540,2024-08-24,Organic Search,Landing Page SEO,Desktop,Europe,Lead,,,
LD5935,2024-10-02,Social Media,Facebook Ads,Tablet,Latin America,MQL,,,
LD2671,2024-04-16,Social Media,Facebook Ads,Mobile,Europe,SQL,,,
LD5318,2024-09-11,Email Marketing,Promo Blast,Mobile,Asia Pacific,SQL,,,
LD5740,2024-10-06,Paid Search,Google Ads - Brand,Tablet,North America,Lead,,,
LD6657,2024-11-12,Social Media,Instagram Ads,Desktop,Europe,MQL,,,
LD2006,2024-03-11,Organic Search,Landing Page SEO,Desktop,Europe,Lead,,,
LD2164,2024-03-08,Social Media,Facebook Ads,Mobile,Asia Pacific,Lead,,,
LD4615,2024-08-01,Paid Search,Google Ads - Generic,Mobile,Europe,MQL,,,
LD6702,2024-11-08,Email Marketing,Promo Blast,Desktop,Latin America,Lead,,,
LD3365,2024-05-12,Email Marketing,Monthly Newsletter,Desktop,North America,Customer,70.0,Pro,2957.21
LD5801,2024-10-23,Paid Search,Google Ads - Brand,Mobile,Latin America,MQL,,,
LD5007,2024-08-08,Direct,Direct / Type-in,Mobile,Europe,MQL,,,
LD4403,2024-07-01,Referral,Partner Program,Desktop,North America,SQL,,,
LD2873,2024-04-02,Referral,Affiliate Program,Desktop,Asia Pacific,SQL,,,
LD4936,2024-08-10,Referral,Partner Program,Desktop,Europe,Lead,,,
LD1545,2024-02-03,Organic Search,Landing Page SEO,Desktop,North America,Customer,20.0,Pro,1668.52
LD3759,2024-06-04,Social Media,Instagram Ads,Mobile,Latin America,MQL,,,
LD7392,2024-12-05,Social Media,Facebook Ads,Mobile,North America,Lead,,,
LD6928,2024-11-15,Referral,Partner Program,Desktop,Asia Pacific,Lead,,,
LD3143,2024-05-08,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD2091,2024-03-18,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,Lead,,,
LD7526,2024-12-27,Email Marketing,Monthly Newsletter,Mobile,North America,MQL,,,
LD5585,2024-09-01,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD3992,2024-06-02,Direct,Direct / Type-in,Mobile,Europe,SQL,,,
LD7022,2024-11-05,Direct,Direct / Type-in,Desktop,Europe,SQL,,,
LD4470,2024-07-03,Direct,Direct / Type-in,Mobile,Asia Pacific,MQL,,,
LD3543,2024-05-22,Direct,Direct / Type-in,Mobile,Asia Pacific,MQL,,,
LD4631,2024-08-28,Paid Search,Google Ads - Brand,Desktop,Asia Pacific,Lead,,,
LD6820,2024-11-03,Email Marketing,Monthly Newsletter,Desktop,Europe,SQL,,,
LD5273,2024-09-17,Social Media,Instagram Ads,Desktop,North America,MQL,,,
LD5926,2024-10-25,Social Media,Instagram Ads,Mobile,North America,MQL,,,
LD5288,2024-09-25,Social Media,LinkedIn Ads,Desktop,North America,Lead,,,
LD3520,2024-05-07,Direct,Direct / Type-in,Desktop,Latin America,SQL,,,
LD7657,2024-12-13,Referral,Partner Program,Desktop,Asia Pacific,MQL,,,
LD4910,2024-08-26,Referral,Partner Program,Mobile,North America,Customer,31.0,Pro,2002.8
LD1234,2024-01-20,Social Media,Instagram Ads,Mobile,Asia Pacific,MQL,,,
LD2624,2024-04-13,Paid Search,Google Ads - Generic,Desktop,Europe,Lead,,,
LD7230,2024-12-03,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD5829,2024-10-26,Paid Search,Google Ads - Brand,Desktop,Europe,MQL,,,
LD4590,2024-08-06,Paid Search,Google Ads - Brand,Desktop,Asia Pacific,MQL,,,
LD3489,2024-05-06,Referral,Partner Program,Desktop,North America,Lead,,,
LD7013,2024-11-15,Direct,Direct / Type-in,Tablet,North America,MQL,,,
LD1062,2024-01-08,Organic Search,Blog SEO,Desktop,North America,MQL,,,
LD5280,2024-09-16,Social Media,LinkedIn Ads,Desktop,North America,Lead,,,
LD1497,2024-02-02,Organic Search,Blog SEO,Desktop,Europe,SQL,,,
LD1764,2024-02-06,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD2363,2024-03-07,Referral,Affiliate Program,Desktop,Latin America,Customer,21.0,Basic,940.41
LD7630,2024-12-01,Referral,Partner Program,Mobile,Europe,Customer,53.0,Pro,2471.51
LD7680,2024-12-03,Referral,Partner Program,Mobile,North America,Lead,,,
LD3685,2024-06-02,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD6931,2024-11-08,Referral,Partner Program,Mobile,North America,MQL,,,
LD4827,2024-08-24,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,Lead,,,
LD2408,2024-03-17,Direct,Direct / Type-in,Desktop,North America,Customer,66.0,Basic,1245.96
LD4291,2024-07-25,Email Marketing,Promo Blast,Desktop,Europe,Customer,48.0,Basic,1351.63
LD1621,2024-02-04,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD2298,2024-03-03,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD6962,2024-11-24,Referral,Partner Program,Mobile,North America,Lead,,,
LD5077,2024-09-27,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD1020,2024-01-04,Organic Search,Landing Page SEO,Desktop,Europe,Lead,,,
LD1586,2024-02-16,Paid Search,Google Ads - Brand,Desktop,North America,SQL,,,
LD5373,2024-09-09,Email Marketing,Monthly Newsletter,Mobile,Europe,SQL,,,
LD1430,2024-01-08,Direct,Direct / Type-in,Mobile,North America,MQL,,,
LD5602,2024-09-02,Direct,Direct / Type-in,Desktop,Europe,MQL,,,
LD2513,2024-04-14,Organic Search,Landing Page SEO,Mobile,North America,MQL,,,
LD2579,2024-04-21,Paid Search,Google Ads - Brand,Desktop,North America,MQL,,,
LD2245,2024-03-23,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD2417,2024-03-25,Direct,Direct / Type-in,Mobile,North America,SQL,,,
LD1734,2024-02-15,Email Marketing,Monthly Newsletter,Desktop,North America,SQL,,,
LD4264,2024-07-16,Social Media,Facebook Ads,Desktop,North America,Lead,,,
LD2596,2024-04-27,Paid Search,Google Ads - Generic,Desktop,Latin America,MQL,,,
LD1757,2024-02-15,Email Marketing,Promo Blast,Mobile,North America,Customer,44.0,Basic,617.01
LD6565,2024-11-11,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD1322,2024-01-24,Email Marketing,Promo Blast,Mobile,Europe,SQL,,,
LD2010,2024-03-05,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD7209,2024-12-26,Paid Search,Google Ads - Brand,Desktop,Europe,MQL,,,
LD1684,2024-02-18,Social Media,LinkedIn Ads,Desktop,Europe,Lead,,,
LD4255,2024-07-12,Social Media,Facebook Ads,Desktop,Europe,MQL,,,
LD4930,2024-08-26,Referral,Affiliate Program,Tablet,Europe,Customer,69.0,Pro,2231.03
LD4185,2024-07-22,Paid Search,Google Ads - Brand,Mobile,Latin America,SQL,,,
LD4938,2024-08-19,Referral,Partner Program,Mobile,Asia Pacific,SQL,,,
LD3289,2024-05-05,Social Media,LinkedIn Ads,Mobile,North America,SQL,,,
LD7167,2024-12-07,Organic Search,Blog SEO,Tablet,Asia Pacific,Customer,72.0,Enterprise,12214.39
LD7108,2024-12-13,Organic Search,Landing Page SEO,Mobile,North America,Lead,,,
LD7733,2024-12-26,Direct,Direct / Type-in,Mobile,Asia Pacific,Lead,,,
LD2804,2024-04-04,Email Marketing,Promo Blast,Desktop,Europe,MQL,,,
LD5646,2024-10-11,Organic Search,Blog SEO,Desktop,Europe,MQL,,,
LD5501,2024-09-08,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD5382,2024-09-25,Email Marketing,Monthly Newsletter,Mobile,Europe,MQL,,,
LD7770,2024-12-17,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD1248,2024-01-22,Email Marketing,Monthly Newsletter,Mobile,Europe,SQL,,,
LD7359,2024-12-14,Social Media,Facebook Ads,Mobile,Europe,MQL,,,
LD5257,2024-09-05,Social Media,Facebook Ads,Mobile,Asia Pacific,Lead,,,
LD3808,2024-06-01,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD5983,2024-10-20,Email Marketing,Monthly Newsletter,Mobile,Asia Pacific,Lead,,,
LD1170,2024-01-10,Paid Search,Google Ads - Generic,Mobile,Europe,MQL,,,
LD1682,2024-02-14,Social Media,LinkedIn Ads,Desktop,North America,SQL,,,
LD5197,2024-09-08,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD5214,2024-09-12,Paid Search,Google Ads - Brand,Mobile,Europe,SQL,,,
LD3590,2024-06-06,Organic Search,Blog SEO,Mobile,North America,MQL,,,
LD7660,2024-12-21,Referral,Partner Program,Desktop,North America,Lead,,,
LD4716,2024-08-18,Social Media,Facebook Ads,Mobile,Europe,Lead,,,
LD3841,2024-06-27,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD4170,2024-07-28,Paid Search,Google Ads - Brand,Mobile,Latin America,MQL,,,
LD6120,2024-10-04,Email Marketing,Monthly Newsletter,Desktop,Europe,Lead,,,
LD1492,2024-02-22,Organic Search,Blog SEO,Desktop,Europe,MQL,,,
LD5588,2024-09-24,Direct,Direct / Type-in,Desktop,Asia Pacific,Lead,,,
LD5921,2024-10-02,Social Media,Instagram Ads,Mobile,Latin America,Lead,,,
LD6926,2024-11-04,Referral,Affiliate Program,Desktop,North America,SQL,,,
LD5619,2024-09-19,Direct,Direct / Type-in,Tablet,North America,SQL,,,
LD2177,2024-03-15,Social Media,Instagram Ads,Desktop,Europe,Lead,,,
LD7603,2024-12-02,Referral,Affiliate Program,Desktop,Latin America,MQL,,,
LD2427,2024-03-11,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD6071,2024-10-23,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD4393,2024-07-07,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD3665,2024-06-26,Paid Search,Google Ads - Generic,Desktop,North America,MQL,,,
LD1470,2024-01-20,Direct,Direct / Type-in,Desktop,Europe,Lead,,,
LD3883,2024-06-28,Email Marketing,Promo Blast,Desktop,Europe,Customer,66.0,Pro,4687.32
LD1032,2024-01-19,Organic Search,Landing Page SEO,Desktop,Europe,SQL,,,
LD6633,2024-11-13,Social Media,LinkedIn Ads,Desktop,Asia Pacific,Lead,,,
LD1707,2024-02-16,Social Media,Instagram Ads,Desktop,Europe,Customer,31.0,Basic,950.65
LD1612,2024-02-02,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD3942,2024-06-25,Referral,Affiliate Program,Desktop,North America,Lead,,,
LD4054,2024-07-11,Organic Search,Landing Page SEO,Desktop,North America,MQL,,,
LD6490,2024-11-20,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD4077,2024-07-01,Organic Search,Blog SEO,Desktop,Asia Pacific,SQL,,,
LD2657,2024-04-14,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,SQL,,,
LD5809,2024-10-05,Paid Search,Google Ads - Brand,Desktop,Latin America,Lead,,,
LD1018,2024-01-20,Organic Search,Blog SEO,Desktop,Europe,SQL,,,
LD1097,2024-01-08,Paid Search,Google Ads - Brand,Mobile,Europe,MQL,,,
LD2821,2024-04-08,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD5275,2024-09-15,Social Media,Instagram Ads,Desktop,North America,MQL,,,
LD5693,2024-10-09,Organic Search,Blog SEO,Desktop,Latin America,Lead,,,
LD2719,2024-04-03,Social Media,Facebook Ads,Mobile,North America,MQL,,,
LD4059,2024-07-25,Organic Search,Blog SEO,Desktop,Europe,SQL,,,
LD4784,2024-08-27,Email Marketing,Monthly Newsletter,Mobile,Europe,Customer,26.0,Basic,822.86
LD2761,2024-04-15,Email Marketing,Promo Blast,Desktop,Asia Pacific,Customer,71.0,Basic,833.74
LD4394,2024-07-11,Referral,Partner Program,Desktop,Europe,Lead,,,
LD6437,2024-11-02,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD5095,2024-09-12,Organic Search,Blog SEO,Mobile,Asia Pacific,MQL,,,
LD5889,2024-10-18,Social Media,Instagram Ads,Desktop,Europe,Lead,,,
LD2877,2024-04-28,Referral,Affiliate Program,Mobile,North America,Lead,,,
LD4555,2024-08-01,Organic Search,Blog SEO,Mobile,Europe,MQL,,,
LD4132,2024-07-25,Paid Search,Google Ads - Brand,Desktop,North America,Customer,70.0,Basic,879.48
LD5577,2024-09-24,Direct,Direct / Type-in,Mobile,North America,MQL,,,
LD1081,2024-01-20,Organic Search,Landing Page SEO,Tablet,Asia Pacific,Lead,,,
LD4820,2024-08-05,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD4668,2024-08-07,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD2802,2024-04-05,Email Marketing,Monthly Newsletter,Mobile,Europe,MQL,,,
LD1548,2024-02-08,Organic Search,Blog SEO,Desktop,Asia Pacific,Customer,20.0,Basic,670.11
LD4886,2024-08-21,Referral,Partner Program,Mobile,North America,Lead,,,
LD5526,2024-09-28,Referral,Partner Program,Mobile,Asia Pacific,SQL,,,
LD1473,2024-01-11,Direct,Direct / Type-in,Desktop,Europe,MQL,,,
LD1933,2024-02-24,Direct,Direct / Type-in,Desktop,Asia Pacific,Lead,,,
LD3664,2024-06-18,Paid Search,Google Ads - Brand,Tablet,North America,Lead,,,
LD6610,2024-11-06,Social Media,LinkedIn Ads,Desktop,North America,MQL,,,
LD6282,2024-10-02,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD1753,2024-02-20,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD7624,2024-12-15,Referral,Affiliate Program,Mobile,North America,SQL,,,
LD1094,2024-01-11,Paid Search,Google Ads - Generic,Desktop,Latin America,Lead,,,
LD7409,2024-12-13,Social Media,Facebook Ads,Mobile,Europe,Lead,,,
LD2420,2024-03-27,Direct,Direct / Type-in,Desktop,Europe,Lead,,,
LD7106,2024-12-03,Organic Search,Landing Page SEO,Mobile,North America,Lead,,,
LD5039,2024-09-06,Organic Search,Blog SEO,Desktop,North America,Lead,,,
LD1038,2024-01-06,Organic Search,Landing Page SEO,Desktop,North America,SQL,,,
LD2554,2024-04-05,Organic Search,Landing Page SEO,Desktop,Europe,MQL,,,
LD5330,2024-09-26,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD2618,2024-04-03,Paid Search,Google Ads - Brand,Mobile,Latin America,Lead,,,
LD6670,2024-11-01,Social Media,Instagram Ads,Tablet,North America,Lead,,,
LD2703,2024-04-27,Social Media,LinkedIn Ads,Mobile,Europe,MQL,,,
LD2075,2024-03-25,Paid Search,Google Ads - Brand,Tablet,Asia Pacific,MQL,,,
LD6590,2024-11-22,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD7273,2024-12-18,Paid Search,Google Ads - Generic,Mobile,Europe,SQL,,,
LD7174,2024-12-06,Organic Search,Landing Page SEO,Mobile,Europe,MQL,,,
